                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96841,                 2.8136,                 1.1689,                0.00644,                0.54651,                0.44656,                0.39906,                0.77094,                 3.1604,                 1.0317,             0.00015003,             0.00015003,             0.00015003
                      2,                0.87317,                 2.1075,                 1.0874,                      1,                 0.1657,                0.45358,                0.38404,                0.85371,                 2.8258,                  1.043,             0.00031046,             0.00031046,             0.00031046
                      3,                0.84725,                 1.3784,                 1.0807,                0.97297,                0.42057,                0.50278,                0.42062,                0.83418,                 2.4909,                 1.0297,             0.00046429,             0.00046429,             0.00046429
                      4,                0.87462,                 1.1631,                 1.1079,                0.99128,                0.44231,                0.52764,                0.42359,                0.86838,                 2.0707,                  1.109,             0.00061151,             0.00061151,             0.00061151
                      5,                0.86639,                 1.1196,                 1.1093,                0.73815,                0.49813,                 0.8969,                0.67384,                0.79932,                 2.6056,                 1.0489,             0.00075214,             0.00075214,             0.00075214
                      6,                0.85302,                 1.0036,                 1.1035,                0.69932,                0.54715,                0.90354,                0.69396,                0.76362,                 2.7082,                 1.0814,             0.00088616,             0.00088616,             0.00088616
                      7,                0.79057,                0.93961,                 1.0943,                0.70294,                0.53086,                0.90916,                 0.6771,                 0.8125,                 2.4708,                  1.085,              0.0010136,              0.0010136,              0.0010136
                      8,                0.84195,                0.96487,                 1.0957,                 0.7386,                0.74803,                  0.923,                0.67263,                0.89652,                 1.6133,                 1.1327,              0.0011344,              0.0011344,              0.0011344
                      9,                0.84138,                0.92089,                 1.1161,                0.68237,                0.80198,                0.93502,                0.70329,                0.81002,                 1.6741,                 1.0807,              0.0012486,              0.0012486,              0.0012486
                     10,                0.81648,                0.89345,                 1.0641,                0.64786,                0.74358,                0.94524,                0.71497,                 0.7872,                 1.6888,                 1.0494,              0.0013562,              0.0013562,              0.0013562
                     11,                0.80105,                0.85924,                 1.0439,                0.70765,                0.92062,                0.96092,                0.73939,                 0.7752,                 1.5719,                 1.0692,              0.0013369,              0.0013369,              0.0013369
